Country,Population,Count
Afghanistan,39232003,0
Albania,3101621,0
Algeria,44758398,0
American Samoa,44620,0
Andorra,85468,0
Angola,35981281,0
Anguilla,19079,0
Antigua And Barbuda,101489,0
Argentina,46621847,2
Armenia,2989091,1
Aruba,123702,1
Australia,26461166,11
Austria,8940860,1
Azerbaijan,10420515,0
Bahrain,1553886,0
Bangladesh,167184465,0
Barbados,303431,1
Belarus,9383853,0
Belgium,11913633,1
Belize,419137,0
Benin,14219908,0
Bermuda,72576,0
Bhutan,876181,0
Bolivia,12186079,0
Bosnia And Herzegovina,3807764,0
Botswana,2417596,1
Brazil,218689757,4
British Virgin Islands,39369,0
Brunei,484991,0
Bulgaria,6827736,1
Burkina Faso,22489126,0
Burundi,13162952,0
Cambodia,16891245,1
Cameroon,30135732,0
Canada,38516736,25
Cape Verde,603901,0
Caribbean Netherlands,30397,0
Cayman Islands,65483,1
Central African Republic,5552228,0
Chad,18523165,0
Chile,18549457,1
China,1413142846,6
Chinese Taipei,23588613,5
Christmas Island,2205,0
Cocos (Keeling) Islands,596,0
Colombia,49336454,1
Comoros,888378,0
Cook Islands,7939,0
Costa Rica,5256612,1
Croatia,4169239,2
Cuba,10985974,0
Curacao,152849,1
Cyprus,1308120,2
Czech Republic,10706242,0
Democratic Republic Of The Congo,111859928,1
Denmark,5946984,1
Djibouti,976143,0
Dominica,74656,0
Dominican Republic,10790744,2
Ecuador,17483326,0
Egypt,109546720,1
El Salvador,6602370,0
Equatorial Guinea,1737695,0
Eritrea,6274796,0
Estonia,1202762,1
Eswatini,1130043,0
Ethiopia,116462712,0
Falkland Islands,3662,0
Faroe Islands,52600,0
Federated States Of Micronesia,100319,0
Fiji,947760,1
Finland,5614571,1
France,68521974,6
French Polynesia,301488,0
Gabon,2397368,0
Georgia,4927228,0
Germany,84220184,6
Ghana,33846114,0
Gibraltar,29629,0
Greece,10497595,1
Greenland,57777,0
Grenada,114299,0
Guadeloupe,378561,0
Guam,169330,0
Guatemala,17980803,0
Guernsey,67642,0
Guinea,13607249,0
Guinea-Bissau,2078820,0
Guyana,791739,0
Haiti,11470261,0
Honduras,9571352,0
Hong Kong,7288167,1
Hungary,9670009,1
Iceland,360872,1
India,1399179585,9
Indonesia,279476346,2
Iran,87590873,0
Iraq,41266109,0
Ireland,5323991,5
Isle Of Man,91840,0
Israel,9043387,1
Italy,61021855,13
Ivory Coast,29344847,0
Jamaica,2820982,0
Japan,123719238,16
Jersey,102785,0
Jordan,11086716,0
Kazakhstan,19543464,1
Kenya,57052004,2
Kiribati,115372,0
